title_km,image_filename,category_slug,meal_slot,youtube_url,duration_minutes
អាម៉ុកត្រី,fish-amok.webp,fish,lunch,https://www.youtube.com/results?search_query=%E1%9E%9A%E1%9E%94%E1%9F%80%E1%9E%94%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%20%E1%9E%A2%E1%9E%B6%E1%9E%98%E1%9F%89%E1%9E%BB%E1%9E%80%E1%9E%8F%E1%9F%92%E1%9E%9A%E1%9E%B8,45
ត្រីអាំងទឹកត្រីស្វាយ,grilled-fish-mango-dip.webp,fish,dinner,,30
ខត្រី,caramelized-fish.webp,fish,lunch,,40
ត្រីបំពង,fried-fish.webp,fish,any,,20
ឆាជូរអែមត្រី,sweet-sour-fish.webp,fish,lunch,,25
ត្រីងៀតបំពង,fried-dried-fish.webp,fish,breakfast,,15
ត្រីចំហុយទឹកស៊ីអ៊ីវ,steamed-fish-soy.webp,fish,dinner,,30
បុកកន្ទុយហាស់,bok-kantuy-has.webp,fish,lunch,,15
ត្រីប្រម៉ាចំហុយសាច់ជ្រូកចិញ្ច្រាំ,steamed-salted-fish-pork.webp,fish,lunch,https://www.youtube.com/results?search_query=%E1%9E%9A%E1%9E%94%E1%9F%80%E1%9E%94%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%20%E1%9E%8F%E1%9F%92%E1%9E%9A%E1%9E%B8%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9E%98%E1%9F%89%E1%9E%B6%E1%9E%85%E1%9F%86%E1%9E%A0%E1%9E%BB%E1%9E%99%E1%9E%9F%E1%9E%B6%E1%9E%85%E1%9F%8B%E1%9E%87%E1%9F%92%E1%9E%9A%E1%9E%BC%E1%9E%80%E1%9E%85%E1%9E%B7%E1%9E%89%E1%9F%92%E1%9E%85%E1%9F%92%E1%9E%9A%E1%9E%B6%E1%9F%86,30
ត្រីដុតពួច,roasted-fish-banana-leaf.webp,fish,dinner,,40
ត្រីអាំងអំបិលម្ទេស,salt-chili-grilled-fish.webp,fish,dinner,,25
ត្រីឆ្អើរ,smoked-fish.webp,fish,any,,60
ខសាច់ជ្រូកពងទា,caramelized-pork-egg.webp,pork,lunch,,60
សាច់ជ្រូកអាំង,grilled-pork.webp,pork,dinner,,30
ឆាខាត់ណាសាច់ជ្រូក,pork-chinese-broccoli.webp,pork,lunch,,15
ប្រហុកខ្ទិះ,prahok-ktis.webp,pork,lunch,https://www.youtube.com/results?search_query=%E1%9E%9A%E1%9E%94%E1%9F%80%E1%9E%94%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%20%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9E%A0%E1%9E%BB%E1%9E%80%E1%9E%81%E1%9F%92%E1%9E%91%E1%9E%B7%E1%9F%87,25
ជ្រូកខ្វៃ,roasted-pork.webp,pork,any,https://www.youtube.com/results?search_query=%E1%9E%9A%E1%9E%94%E1%9F%80%E1%9E%94%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%20%E1%9E%87%E1%9F%92%E1%9E%9A%E1%9E%BC%E1%9E%80%E1%9E%81%E1%9F%92%E1%9E%9C%E1%9F%83,120
ឆាស្ពៃក្តោបសាច់ជ្រូកចិញ្ច្រាំ,pork-cabbage-stirfry.webp,pork,lunch,,15
ឆាខ្ញីសាច់ជ្រូក,pork-ginger.webp,pork,lunch,,20
សាច់ជ្រូកផាក់ឡូវ,pork-paklov.webp,pork,dinner,,90
សាច់ក្រកជ្រូក,cambodian-pork-sausage.webp,pork,any,,20
ត្រចៀកជ្រូកជ្រក់,pickled-pig-ears.webp,pork,any,,15
ខជើងជ្រូក,caramelized-pork-trotters.webp,pork,dinner,,90
បុកសាច់ជ្រូក,pounded-pork-dip.webp,pork,lunch,,20
មាន់ដុត,roasted-chicken.webp,chicken,dinner,,60
ខមាន់,caramelized-chicken.webp,chicken,lunch,,40
ការីមាន់,chicken-curry.webp,chicken,dinner,,45
ឆាខ្ញីមាន់,chicken-ginger.webp,chicken,lunch,,20
មាន់បំពង,fried-chicken.webp,chicken,any,,25
ឆាគ្រឿងមាន់,chicken-lemongrass.webp,chicken,lunch,,20
មាន់អាំង,grilled-chicken.webp,chicken,dinner,,35
ញាំសាច់មាន់,chicken-salad.webp,chicken,any,,15
មាន់ដុតកូកា,coca-cola-chicken.webp,chicken,dinner,,50
ជើងមាន់ជ្រក់,pickled-chicken-feet.webp,chicken,any,,20
ឡុកឡាក់សាច់គោ,beef-lok-lak.webp,beef,lunch,,20
សាច់គោអាំង,grilled-beef.webp,beef,dinner,,25
ឆាខាត់ណាសាច់គោ,beef-chinese-broccoli.webp,beef,lunch,,15
ឆាគ្រឿងសាច់គោ,beef-lemongrass.webp,beef,lunch,,20
ឆាម្រះព្រៅសាច់គោ,beef-holy-basil.webp,beef,lunch,,15
គោឡើងភ្នំ,cow-climbing-mountain.webp,beef,dinner,https://www.youtube.com/results?search_query=%E1%9E%9A%E1%9E%94%E1%9F%80%E1%9E%94%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%20%E1%9E%82%E1%9F%84%E1%9E%A1%E1%9E%BE%E1%9E%84%E1%9E%97%E1%9F%92%E1%9E%93%E1%9F%86,30
ញាំសាច់គោ,beef-salad.webp,beef,any,,15
សាច់គោជ្រក់ក្រូចឆ្មារ,beef-lime-salad.webp,beef,dinner,,20
សាច់គោចង្កាក់អាំង,beef-skewers.webp,beef,any,,15
ភ្លាសាច់គោ,plea-sach-ko.webp,beef,dinner,,20
ខគោ,kho-ko.webp,beef,breakfast,https://www.youtube.com/results?search_query=%E1%9E%9A%E1%9E%94%E1%9F%80%E1%9E%94%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%20%E1%9E%81%E1%9E%82%E1%9F%84,120
សម្លកកូរ,samlor-korko.webp,soup,lunch,https://www.youtube.com/results?search_query=%E1%9E%9A%E1%9E%94%E1%9F%80%E1%9E%94%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%20%E1%9E%9F%E1%9E%98%E1%9F%92%E1%9E%9B%E1%9E%80%E1%9E%80%E1%9E%BC%E1%9E%9A,45
សម្លប្រហើរ,samlor-proheur.webp,soup,lunch,,35
សម្លម្ជូរគ្រឿង,samlor-machu-kroeung.webp,soup,dinner,,40
សម្លម្ជូរយួន,samlor-machu-youn.webp,soup,lunch,,30
សម្លម្ជូរស្រែ,samlor-machu-srae.webp,soup,lunch,,30
ស្ងោរជ្រក់ត្រី,sngor-chrouk-trei.webp,soup,lunch,,25
ស្ងោរត្រឡាចសាច់ជ្រូកចិញ្ច្រាំ,winter-melon-soup.webp,soup,any,,30
ស្ងោរង៉ាំងូវមាន់,sngor-ngam-ngov.webp,soup,dinner,,35
សម្លរំដេង,samlor-romdeng.webp,soup,lunch,,30
សម្លខ្ទិះ,samlor-ktis.webp,soup,dinner,,40
ស្ងោរឆ្អឹងជំនីរជ្រូក,pork-rib-soup.webp,soup,lunch,,45
សម្លចាប់ឆាយ,chap-chhay.webp,soup,dinner,,60
សម្លម្ជូរព្រលិត,samlor-machu-prolit.webp,soup,lunch,,30
ស្ងោរស្ពៃក្តោប,cabbage-soup.webp,soup,lunch,,20
ឆាត្រកួន,morning-glory-stirfry.webp,vegetable,any,,10
ឆាបន្លែគ្រប់មុខ,mixed-veggies.webp,vegetable,any,,15
ញាំស្វាយខ្ចី,green-mango-salad.webp,vegetable,any,,10
បុកល្ហុង,bok-lhong.webp,vegetable,any,,15
ញាំក្រូចថ្លុង,pomelo-salad.webp,vegetable,any,,15
ឆាផ្សិត,mushroom-stirfry.webp,vegetable,any,,15
បុកក្រសាំង,bok-krasang.webp,vegetable,lunch,,10
ទឹកគ្រឿង,teuk-kroeung.webp,vegetable,lunch,,20
ញាំមីសួ,glass-noodle-salad.webp,vegetable,any,,15
ញាំត្រយូងចេក,banana-blossom-salad.webp,vegetable,any,,20
បុកមី,bok-mee.webp,vegetable,any,,10
ពោតស្ងោរ,boiled-corn.webp,vegetable,any,,30
ពោតអាំង,grilled-corn.webp,vegetable,any,,15
ចេកខ្ទិះ,chek-ktis.webp,dessert,any,,25
បបរសណ្តែកខៀវ,mung-bean-porridge.webp,dessert,any,,40
បបរត្នោត,palm-fruit-porridge.webp,dessert,any,,35
នំអន្សម,num-ansom.webp,dessert,any,https://www.youtube.com/results?search_query=%E1%9E%9A%E1%9E%94%E1%9F%80%E1%9E%94%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%20%E1%9E%93%E1%9F%86%E1%9E%A2%E1%9E%93%E1%9F%92%E1%9E%9F%E1%9E%98,120
នំគម,num-kom.webp,dessert,any,,45
នំផ្លែអាយ,num-plae-ai.webp,dessert,any,,30
បង្អែមលត,lot-dessert.webp,dessert,any,,20
ចាហួយខ្ទិះ,coconut-agar.webp,dessert,any,,40
នំក្រូច,num-krouch.webp,dessert,any,,35
ចេកអាំង,grilled-banana.webp,dessert,any,,15
ដំឡូងអាំង,grilled-sweet-potato.webp,dessert,any,,20
នំពុម្ព,num-poum.webp,dessert,any,,15
នំកង,num-kong.webp,dessert,any,,30
នំអាកោ,num-akar.webp,dessert,any,,40
នំចាខ្វៃ,cha-kway.webp,dessert,any,,20
សង់ខ្យាល្ពៅ,sangkhya-lapov.webp,dessert,any,,60
បង្អែមគ្រាប់ត្នោត,palm-fruit-dessert.webp,dessert,any,,15
ទឹកកកឈូស,teuk-kok-chhous.webp,dessert,any,,10
បបរពោត,corn-porridge.webp,dessert,any,,30
នំកាឆាយ,num-kachay.webp,dessert,any,,25
ចេកចៀន,fried-banana.webp,dessert,any,,15
ដំឡូងចៀន,fried-sweet-potato.webp,dessert,any,,15
នំប៉័ងសាច់,nom-pang-sach.webp,dessert,any,,10
បាយឆា,fried-rice.webp,rice,any,,15
បាយស្រូប,bai-srob.webp,rice,breakfast,,10
បាយមាន់,chicken-rice.webp,rice,any,,30
បាយឡុកឡាក់,lok-lak-rice.webp,rice,lunch,,20
បបរគ្រឿង,bobor-kroeung.webp,rice,breakfast,,45
បបរស,plain-porridge.webp,rice,any,,30
បាយក្ដាំង,bai-kdang.webp,rice,any,,25
នំបញ្ចុកសម្លខ្មែរ,nom-banh-chok-khmer.webp,noodle,breakfast,https://www.youtube.com/results?search_query=%E1%9E%9A%E1%9E%94%E1%9F%80%E1%9E%94%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%20%E1%9E%93%E1%9F%86%E1%9E%94%E1%9E%89%E1%9F%92%E1%9E%85%E1%9E%BB%E1%9E%80%E1%9E%9F%E1%9E%98%E1%9F%92%E1%9E%9B%E1%9E%81%E1%9F%92%E1%9E%98%E1%9F%82%E1%9E%9A,40
នំបញ្ចុកសម្លការី,nom-banh-chok-curry.webp,noodle,lunch,https://www.youtube.com/results?search_query=%E1%9E%9A%E1%9E%94%E1%9F%80%E1%9E%94%E1%9E%92%E1%9F%92%E1%9E%9C%E1%9E%BE%20%E1%9E%93%E1%9F%86%E1%9E%94%E1%9E%89%E1%9F%92%E1%9E%85%E1%9E%BB%E1%9E%80%E1%9E%9F%E1%9E%98%E1%9F%92%E1%9E%9B%E1%9E%80%E1%9E%B6%E1%9E%9A%E1%9E%B8,45
គុយទាវភ្នំពេញ,kuy-teav-phnom-penh.webp,noodle,breakfast,,60
មីឆា,mee-cha.webp,noodle,any,,15
លតឆា,lort-cha.webp,noodle,any,,15
មីកូឡា,mee-kola.webp,noodle,any,,30
បាញ់កាញ់,banh-kanh.webp,noodle,any,,40
មីសួឆា,glass-noodle-stirfry.webp,noodle,any,,15
មីឆាពងទា,fried-noodle-egg.webp,noodle,any,,10
គុយទាវឆា,kuy-teav-cha.webp,noodle,any,,15
នំបញ្ចុកទឹកម្ហិច,nom-banh-chok-kampot.webp,noodle,any,,30
នំបញ្ចុកទឹកប្រហុក,nom-banh-chok-teuk-prahok.webp,noodle,any,,20
បាញ់ស៊ុង,banh-sung.webp,noodle,any,,35
បាញ់ហយ,banh-hoi.webp,noodle,any,,30